id,evaluation,texts,my_labels,predicted,prediction_class,error_type,clean_texts
34,validate,#KillTheBill #bristol #bristolprotests #protests #protest #policebrutality #acab #fuckthepolice #abolishthepolice,negative,neutral,negative-neutral,short text,KillTheBill bristol bristolprotests protests protest policebrutality acab fuckthepolice abolishthepolice
44,validate,"Sneak peak of our new exhibition! A collaborative installation combining paintings & sculpture, ‘I’ll meet you under the clock at Brampton Moot Hall’ 

Opening Saturday 2nd April! With a special artist in conversation:

Sat. 2nd April- 1-3pm 

Sat. 23rd April- 1-3pm 

Come support and discuss these amazing works by local artists on sense of place. Enjoy a lovely cuppa in our cosy Florence cafe. <U+0001F970> 

#localart #localartists #communityorganization #exhibitions #sculpture #paintings",positive,neutral,positive-neutral,advertising,Sneak peak of our new exhibition ! A collaborative installation combining paintings & sculpture ‘I’ll meet you under the clock at Brampton Moot Hall’ Opening Saturday 2nd April ! With a special artist in conversation Sat 2nd April 1 3pm Sat 23rd April 1 3pm Come support and discuss these amazing works by local artists on sense of place Enjoy a lovely cuppa in our cosy Florence cafe U+0001F970  localart localartists communityorganization exhibitions sculpture paintings
49,validate,help this mother & her daughter if you can <U+0001F308><U+0001F308><U+0001F308><U+0001F98B><U+0001F98B><U+0001F98B><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> #wealthredistribution #solidarity #realalliesshowup #allyship #fundraiser #mutualaid,neutral,positive,neutral-positive,uncommon tokens,help this mother & her daughter if you can U+0001F308 U+0001F308 U+0001F308 U+0001F98B U+0001F98B U+0001F98B U+2764 U+FE0F U+2764 U+FE0F U+2764 U+FE0F U+2764 U+FE0F wealthredistribution solidarity realalliesshowup allyship fundraiser mutualaid
52,validate,"Over a year into the pandemic, there are still PPE shortages at facilities across the US. @GetUsPPE has devoted much of that last year working tirelessly to get personal protective equipment to those who need it most.

Read more in the slides above!

#GetUsPPE #COVID19 #COVID_19 #COVID #volunteer #StrongerTogether #FlattenTheCurve #Grassroots #MaskUp #FightCOVID19 #Donate #GetMePPE #Coronavirus #Health #Pandemic #PPE",positive,neutral,positive-neutral,gold uncertainty,Over a year into the pandemic there are still PPE shortages at facilities across the US GetUsPPE has devoted much of that last year working tirelessly to get personal protective equipment to those who need it most Read more in the slides above ! GetUsPPE COVID19 COVID 19 COVID volunteer StrongerTogether FlattenTheCurve Grassroots MaskUp FightCOVID19 Donate GetMePPE Coronavirus Health Pandemic PPE
53,validate,"How have your #stress levels been? Self-care is important. <U+2764><U+FE0F>

Stress will cause negative side effects like making your body feel off-balance. Breathing techniques may help you gain control. What is your go-to way to #decreasestress that you’ve used during the #pandemic? 

Check-in daily for discussions on the topics you care about. 
https://www.facebook.com/SharminSmithAuthor 
.
.
.
.
.
.
#activist #activistsm #socialactivist #humanrightsactivist #civilrightsactivist #instaactivist #lgbtactivist #civilrights #socialjustice #socialjusticeadvocates #youngactivists #womanactivists #protest #protests #protests2020 #protestors #protest_peacefully #blm #blmactivist #blacklivesmatter #empoweredwomenempowerwomen #youmatter #gifted #unique #femalewriter #blogger #femaleblogger",negative,neutral,negative-neutral,suggestion,How have your stress levels been? Self care is important U+2764 U+FE0F Stress will cause negative side effects like making your body feel off balance Breathing techniques may help you gain control What is your go to way to decreasestress that you’ve used during the pandemic? Check in daily for discussions on the topics you care about https www facebook com SharminSmithAuthor   activist activistsm socialactivist humanrightsactivist civilrightsactivist instaactivist lgbtactivist civilrights socialjustice socialjusticeadvocates youngactivists womanactivists protest protests protests2020 protestors protest peacefully blm blmactivist blacklivesmatter empoweredwomenempowerwomen youmatter gifted unique femalewriter blogger femaleblogger
55,validate,"<U+0001F409> <U+0001F525> In the spirit of Mandela Freedom Day its imperative to let the world <U+0001F30E> know that Political Prisoners exist in The U.S. borders many who have now served more time then Nelson Mandela our own mandelas need to be released now! We demand that they are released! Free Em All!!!! <U+0001F30E><U+0001F30D>
.
.
.
#nelsonmandela
#winniemandela
#southafrica
#azania
#southafrican 
#newafrikanindependencemovement 
#newafrikans
#georgejacksongrassrootsmovement
#georgejackson 
#georgejacksonquotes 
#georgejacksonuniversity 
#georgejacksonradio 
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#explorepage 
#viralpost
#newafrikanpoliticalprisoners 
#newafrikanprisonerofwar 
#freepoliticalprisonersandexiles 
#freepoliticalprisoners<U+0001F397> 
#politicalprisoner 
#politicalprisoners",negative,positive,negative-positive,enthusiasm,U+0001F409 U+0001F525 In the spirit of Mandela Freedom Day its imperative to let the world U+0001F30E know that Political Prisoners exist in The U S borders many who have now served more time then Nelson Mandela our own mandelas need to be released now ! We demand that they are released ! Free Em All ! ! ! ! U+0001F30E U+0001F30D  nelsonmandela winniemandela southafrica azania southafrican newafrikanindependencemovement newafrikans georgejacksongrassrootsmovement georgejackson georgejacksonquotes georgejacksonuniversity georgejacksonradio newafrikanpoliticalprisoners freeallpoliticalprisoners politicalprisonersofwar communityorganizations communityorganizing communityorganizer soledadbrothers transformingthecriminalmindintoarevolutionarymind turningcagesintouniversities viralpage viralpages viralpost explorepage viralpost newafrikanpoliticalprisoners newafrikanprisonerofwar freepoliticalprisonersandexiles freepoliticalprisoners U+0001F397 politicalprisoner politicalprisoners
57,validate,"FILIBUSTER? What can about FILIBUSTER? What is importance for USA Senate. 
#usa #senate #filibuster #youtube #usapoliticalsystem #oxford #chicagouniversity #lectures",neutral,negative,neutral-negative,uncommon tokens,FILIBUSTER? What can about FILIBUSTER? What is importance for USA Senate usa senate filibuster youtube usapoliticalsystem oxford chicagouniversity lectures
62,validate,"- Thousands of Israelis protest against Netanyahu.
2021 © Gadi Rashkovan.
<U+05D0><U+05E0><U+05D7><U+05E0><U+05D5> <U+05D4><U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>
-
-
#goodvibes #documentaryphotography #protest #goodvibes #demonstration #resist #pinkfront #pinkflag #Netanyahu #BIBI #corporateidentety #branding #crimeminister #mehazkim
#<U+05DE><U+05D7><U+05D0><U+05D4> #<U+05E6><U+05D5><U+05DC><U+05DC><U+05D5><U+05EA> #<U+05E0><U+05EA><U+05E0><U+05D9><U+05D4><U+05D5> #<U+05DC><U+05DA> #<U+05D1><U+05D9><U+05D1><U+05D9> #<U+05D1><U+05D9><U+05D1><U+05D9><U+05D4><U+05D1><U+05D9><U+05EA><U+05D4> #<U+05E9><U+05D7><U+05D9><U+05EA><U+05D5><U+05EA> #<U+05DE><U+05D5><U+05E9><U+05D7><U+05EA><U+05D9><U+05DD><U+05E0><U+05DE><U+05D0><U+05E1><U+05EA><U+05DD> #<U+05D3><U+05D2><U+05DC><U+05D9><U+05DD><U+05E9><U+05D7><U+05D5><U+05E8><U+05D9><U+05DD> #<U+05D0><U+05D9><U+05DF><U+05DE><U+05E6><U+05D1> #<U+05D1><U+05DC><U+05E4><U+05D5><U+05E8>",positive,negative,positive-negative,gold uncertainty,Thousands of Israelis protest against Netanyahu 2021 © Gadi Rashkovan U+05D0 U+05E0 U+05D7 U+05E0 U+05D5 U+05D4 U+05EA U+05E7 U+05D5 U+05D5 U+05D4  goodvibes documentaryphotography protest goodvibes demonstration resist pinkfront pinkflag Netanyahu BIBI corporateidentety branding crimeminister mehazkim U+05DE U+05D7 U+05D0 U+05D4 U+05E6 U+05D5 U+05DC U+05DC U+05D5 U+05EA U+05E0 U+05EA U+05E0 U+05D9 U+05D4 U+05D5 U+05DC U+05DA U+05D1 U+05D9 U+05D1 U+05D9 U+05D1 U+05D9 U+05D1 U+05D9 U+05D4 U+05D1 U+05D9 U+05EA U+05D4 U+05E9 U+05D7 U+05D9 U+05EA U+05D5 U+05EA U+05DE U+05D5 U+05E9 U+05D7 U+05EA U+05D9 U+05DD U+05E0 U+05DE U+05D0 U+05E1 U+05EA U+05DD U+05D3 U+05D2 U+05DC U+05D9 U+05DD U+05E9 U+05D7 U+05D5 U+05E8 U+05D9 U+05DD U+05D0 U+05D9 U+05DF U+05DE U+05E6 U+05D1 U+05D1 U+05DC U+05E4 U+05D5 U+05E8
69,validate,@viipra_mmarwaha_longani #businessnews #daily #day254 #newupdate #positivenews #farmers #protest #ncr #property #residential #mcdonalds #mumbai #lg #profit #highest #business #money #enterpreneur #newsoftheday #spreadpositivity #postivityiskey #keytosuccess #successmantra #growth #proudmoment #ipl #2021 #backontrack #revival #newhopes,positive,neutral,positive-neutral,uncommon tokens,viipra mmarwaha longani businessnews daily day254 newupdate positivenews farmers protest ncr property residential mcdonalds mumbai lg profit highest business money enterpreneur newsoftheday spreadpositivity postivityiskey keytosuccess successmantra growth proudmoment ipl 2021 backontrack revival newhopes
71,validate,"Why doesn’t Congress get anything done?
#Congress #filibuster #priorities",negative,neutral,negative-neutral,short text,Why doesn’t Congress get anything done? Congress filibuster priorities
74,validate,"My mom bought this album when I was 6 years old, I was a die hard fan ever since ! RIP The hardest they ever did it @dmx #DMX #music #memes #conspiracy #marijuana #blm #vegan #explorepage #beauty #style #fashion #comics #gaming #truth #protest #justice #media #entertainment #money #love #fitness #motivation #knowledge  #history #reels #comedy #theshaderoom",positive,neutral,positive-neutral,enthusiasm,My mom bought this album when I was 6 years old I was a die hard fan ever since ! RIP The hardest they ever did it dmx DMX music memes conspiracy marijuana blm vegan explorepage beauty style fashion comics gaming truth protest justice media entertainment money love fitness motivation knowledge history reels comedy theshaderoom
82,validate,"Our next Fresh Fun Mobile Market is tomorrow, March 26th from 10am-12:30pm at Loyola Academy!

Chef demonstrations, recipes, and FREE essential items. This event will require pre-registration, as space will be limited.

Sign up now on our website!

If you can't make it out, stay tuned for future opportunities coming soon. Text “FUNMEALS” to 741-21 for alerts on all upcoming events.

.
.
.
#STLNonprofit #StLouisNonprofit #stlnonprofits #StLouisEducation #STLEducation #stlserves #childrenandfamilies #communityneeds #buildingabettercommunity #funmeals #foodassistance #enrichingcommunities #youthservices #communityaction #enrichmentprogram #communityorganization #mobilemarket #getsupport #4charity #communityimpact #neighborshelpingneighbors #takingaction  #socialimpact #doinggood #thebaileyfoundation #takeactionstl",neutral,positive,neutral-positive,advertising,Our next Fresh Fun Mobile Market is tomorrow March 26th from 10am 12 30pm at Loyola Academy ! Chef demonstrations recipes and FREE essential items This event will require pre registration as space will be limited Sign up now on our website ! If you can't make it out stay tuned for future opportunities coming soon Text “FUNMEALS” to 741 21 for alerts on all upcoming events  STLNonprofit StLouisNonprofit stlnonprofits StLouisEducation STLEducation stlserves childrenandfamilies communityneeds buildingabettercommunity funmeals foodassistance enrichingcommunities youthservices communityaction enrichmentprogram communityorganization mobilemarket getsupport 4charity communityimpact neighborshelpingneighbors takingaction socialimpact doinggood thebaileyfoundation takeactionstl
83,validate,"#<U+0645><U+0633><U+064A><U+0644><U+0629> <U+0644><U+064A> <U+062C><U+064A><U+0646><U+064A><U+0631><U+0648> <U+0628><U+0631><U+0643><U+0627><U+0648> <U+0645><U+0644><U+0639><U+0628><U+060C> 7<U+0648>8  <U+0627><U+0644><U+0633><U+0644><U+0637><U+0629> <U+0644><U+0644><U+0634><U+0639><U+0628>
#msila Generals stop playing around, apply articles 7 and 8, the power to the people
<U+062A><U+062D><U+064A><U+0627> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631><U+062F><U+0648><U+0644><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+062A><U+062D><U+064A><U+0627> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631> <U+0645><U+0627><U+0634><U+064A> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629>
Long live Algeria, a civil state, long live Algeria, not a military state
<U+062F><U+0648><U+0644><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+0627><U+0634><U+064A> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629>.
Civil, civil, civil state, not military, military, military state.

#algeria
#algerie
#algerian
#algeria<U+0001F1E9><U+0001F1FF>
#alger
#hirak 
#protest
#protests
#protest_peacefully 
#politiquealgerienne
#free_the_detainees
#<U+062D><U+0631><U+0627><U+0643>_22_<U+0641><U+064A><U+0641><U+0631><U+064A> 
#<U+064A><U+062A><U+0646><U+062D><U+0627><U+0648>_<U+06A8><U+0627><U+0639> 
#<U+0627><U+0644><U+0627><U+0633><U+062A><U+0642><U+0644><U+0627><U+0644> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631>_<U+0627><U+0644><U+0645><U+062D><U+0645><U+064A><U+0629>_<U+0628><U+0627><U+0644><U+0644><U+0647> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631><U+0001F1E9><U+0001F1FF>
#<U+0627><U+0644><U+062D><U+0631><U+0627><U+0643>
#<U+062D><U+0631><U+0627><U+0643><U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631>
#<U+0627><U+0644><U+062D><U+0631><U+064A><U+0629> 
#<U+0646><U+0631><U+064A><U+062F>_<U+0648><U+0637><U+0646>
#<U+0645><U+0639><U+062A><U+0642><U+0644><U+064A>_<U+0627><U+0644><U+0631><U+0627><U+0654><U+064A> 
#<U+0633><U+0644><U+0645><U+064A><U+0629>_<U+0633><U+0644><U+0645><U+064A><U+0629> 
#<U+0627><U+0644><U+062D><U+0631><U+0627><U+0643>_<U+0627><U+0644><U+0634><U+0639><U+0628>",negative,neutral,negative-neutral,enthusiasm,U+0645 U+0633 U+064A U+0644 U+0629 U+0644 U+064A U+062C U+064A U+0646 U+064A U+0631 U+0648 U+0628 U+0631 U+0643 U+0627 U+0648 U+0645 U+0644 U+0639 U+0628 U+060C 7 U+0648 8 U+0627 U+0644 U+0633 U+0644 U+0637 U+0629 U+0644 U+0644 U+0634 U+0639 U+0628 msila Generals stop playing around apply articles 7 and 8 the power to the people U+062A U+062D U+064A U+0627 U+0627 U+0644 U+062C U+0632 U+0627 U+0626 U+0631 U+062F U+0648 U+0644 U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+062A U+062D U+064A U+0627 U+0627 U+0644 U+062C U+0632 U+0627 U+0626 U+0631 U+0645 U+0627 U+0634 U+064A U+0639 U+0633 U+0643 U+0631 U+064A U+0629 Long live Algeria a civil state long live Algeria not a military state U+062F U+0648 U+0644 U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+0645 U+0627 U+0634 U+064A U+0639 U+0633 U+0643 U+0631 U+064A U+0629 U+0639 U+0633 U+0643 U+0631 U+064A U+0629 U+0639 U+0633 U+0643 U+0631 U+064A U+0629 Civil civil civil state not military military military state algeria algerie algerian algeria U+0001F1E9 U+0001F1FF alger hirak protest protests protest peacefully politiquealgerienne free the detainees U+062D U+0631 U+0627 U+0643 22 U+0641 U+064A U+0641 U+0631 U+064A  U+064A U+062A U+0646 U+062D U+0627 U+0648 U+06A8 U+0627 U+0639  U+0627 U+0644 U+0627 U+0633 U+062A U+0642 U+0644 U+0627 U+0644  U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631 U+0627 U+0644 U+0645 U+062D U+0645 U+064A U+0629 U+0628 U+0627 U+0644 U+0644 U+0647  U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631  U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631 U+0001F1E9 U+0001F1FF U+0627 U+0644 U+062D U+0631 U+0627 U+0643 U+062D U+0631 U+0627 U+0643 U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631 U+0627 U+0644 U+062D U+0631 U+064A U+0629  U+0646 U+0631 U+064A U+062F U+0648 U+0637 U+0646 U+0645 U+0639 U+062A U+0642 U+0644 U+064A U+0627 U+0644 U+0631 U+0627 U+0654 U+064A  U+0633 U+0644 U+0645 U+064A U+0629 U+0633 U+0644 U+0645 U+064A U+0629  U+0627 U+0644 U+062D U+0631 U+0627 U+0643 U+0627 U+0644 U+0634 U+0639 U+0628
85,validate,"Where’s your paradise? How about adding some coffee to the equation and making it even better. Whether you’re working in the shop, or camping on the top of a mountain, you don’t need to leave coffee behind.
.
.
.
#sai #pourover #coffee #adventure #paradise #brew #phoenix70 #filibuster #grinder",positive,negative,positive-negative,advertising,Where’s your paradise? How about adding some coffee to the equation and making it even better Whether you’re working in the shop or camping on the top of a mountain you don’t need to leave coffee behind  sai pourover coffee adventure paradise brew phoenix70 filibuster grinder
