,description,sentiment,predicted
26,"Looks like the Salami Leg F3s were a success! All 3 of these phenos look strikingly similar so far. Hoping for some citrus packed phenos here! 

A lot of people have been asking for pics of the Salami Leg F3s; this is my first time growing them out so they’re still in the “tester” phase at the moment. If you happen to have some of these on hand, I encourage you to pop them so that we may explore their beauty together! If you dont have any, fear not! You can still get some Salami Leg F3 freebies with your order of any Salami Leg F2s on @eastcoastseedbank site! (Link in bio)

Salami Leg F3s are extremely limited and as it was with the Salami Glue F1s, they will only be available through giveaways and freebies! Get yours while they last!

#YourTerpsAreHere #cannabiscommunity #cannabis #marijuana #cannabisgrowers #cannabiscures #cannabisconnoisseur #cannabiscontent #cannabissociety #cannabisseeds #eastcoastseedbank #weedporn #marijuanamovement #marijuanagrowers #growmarijuana #growcannabis #grassachusetts #grassroots #indoorcannabis #indoorgrow #indoorweed #growyourown #homegrown #organiccannabis #dontpanicitsorganic #necompost #livingsoil #mmj #thc #medicalmarijuana",positive,neutral
28,"Unfortunately, there is no cookie cutter recipe for designing a successful social movement that brings about institutional change. Scholars throughout the world have tried to delineate some essential elements but, to this day, disagree on many of them.  Although there is no consensus, there are many plausible theories that explain these social phenomena that are proliferating now, more than ever before.
 
Today, I want to highlight one perspective in particular, formulated by Erica Chenoweth, political  science professor at Harvard University. After looking over hundreds of social and political campaigns for the past century, she suggested that for a social movement to be truly influential it has to yield almost immediate results, be generally peaceful, and engage at least 3.5% of the population.
 
Do you agree or disagree?
 
Source: The '3.5% rule': How a small minority can change the world, BBC, May 2019
 
#socialmovements #communication #communicationstudies #blm #meetoo #socialchange #socialtheory #culture #harvard #minorities #protests #law #politics #peacefulprotest #blog #bbcnews #bbc",positive,neutral
31,"Hey guys!! New raffle dropped a couple days ago and I'm making this post to boost it! All proceeds are going to trans mutual funds! To enter simply get $10 to @haylgents 
This baddy is loaded with beautiful calming works by various local artists (tagged in each photo)
Please like and share!!

#raffle #transhealthcare #transrights #donate #gofundme #mutualaid #localart #artistssupportingartists",positive,neutral
32,"A Forex trading strategy defines a system that Forex traders use to determine when to buy or sell a currency pair<U+0001F469><U+200D><U+0001F4BB>

An ideal Forex trading strategy should include technical and fundamental analysis<U+0001F4CA>

It should also allow traders to analyze the market and confidently execute trades with sound risk management techniques<U+0001F4C9>

Visit www.squeezebounce.com to see our Mentorship Packages <U+0001F469><U+200D><U+0001F4BB>
-
-
-
-
-
-
-
-
-
-

#cryptoanarchy #blockchain #liberty #HashmeApp #protest #3dprinting #www #revolution #wikiweapon #libertarian #stateterror #3dprintedgun #ancap #tv #worldwideweb #3dprintedguns #hack #defundthestate via #HashMeApp",neutral,negative
34,#KillTheBill #bristol #bristolprotests #protests #protest #policebrutality #acab #fuckthepolice #abolishthepolice,negative,neutral
35,"Stable and kid-friendly snack packs are perfect for children of all ages. Through our snack pack program, these will be handed out to kids on weekends and during school breaks. 
.
.
.
#STLNonprofit #StLouisNonprofit #stlnonprofits #StLouisEducation #STLEducation #stlserves #essentialgoods #mobilefoodmarket #nutritionservices #childrenandfamilies #communityneeds #buildingabettercommunity #funmeals #foodassistance #enrichingcommunities #youthservices #communityaction #enrichmentprogram #communityorganization #mobilemarket #getsupport #4charity #communityimpact #neighborshelpingneighbors #takingaction #fooddistribution #socialimpact #doinggood",positive,negative
36,"Arizonans are tired of Senator Sinema’s excuses, and it shows. Sinema’s favorability rating dropped drastically after she took her vocal position in favor of the Senate filibuster rule—and Arizonans are not happy. 

Sinema’s support for the filibuster will jeopardize almost every piece of popular legislation on the agenda—from protection for our right to vote to immigration reform to worker protections.

Arizonans, including Democrats and Independents aren’t standing for it. It’s time for Sinema to listen to her constituents if she wants to save her political reputation. Click the link in our bio or visit bit.ly/SinemaSinks to read our latest blog on Sinema’s drop in favorability, and why Sen. Kelly isn’t suffering the same fate. 
•
•
•
•
•
#sinema #endthefilibuster #filibuster #democrats #biden #azleg #forthepeopleact #americanjobsplan #americanrescueplan #covidrelief #politics #arizona #kyrstensinema #markkelly",negative,neutral
37,"Cheeese!!! Hi from the mountains! <U+0001F62C>
//
Charles, Allie & Remi
//
#ctfxc #charity #wethekings #charitywork #community #cancer #awareness #inspiration #support #nonprofit #nonprofitorganization #trippy #allie #charles #music #bekind #instagramtakeover #communityorganization #quarantine #communitylove",positive,neutral
40,"Did you know nonprofits CAN take a position for or against a ballot measure?

Learn more about what nonprofit organizations can and can't do when it comes to ballot measures with our informative factsheet. Link in bio! 

#Nonprofits #BallotMeasures #StayingNonpartisan #501c3 #Elections #Community #CommunityOrganizations",neutral,positive
41,"WE ARE THE CHANGE <U+203C><U+FE0F><U+0001F30F> 

Another great shot of the #schoolstrike4climate <U+0001F4F8>

This photograph has been officially licensed. We are not the author and you do not have the authority to re-post without a proper license for the intellectual property. 

#wearethechange #bethechange #bethechangeyouwanttosee #bethechangeyouwanttoseeintheworld #bethechangeyouwishtosee #changeispossible #changeishappening #climatechangeisreal #climatechangeaction #climatechangeawareness #climatecrisis #climatemergency #climateawareness #climateaction #climatejustice #climatestrike #climatestrikeonline #climatebreakdown #climatescience #schoolstrike #schoolstrikeforclimate #climateactivist #climateactivism #environmentprotection #protests #protestart #protestsigns #ecoearthmarket #earthprotectors",positive,neutral
42,"Thank you @maryspence1987 for awarding Mama to Mama a grant in the amount of $5,000. We appreciate the generous award and absolutely love working with you! 
#funding #communityorganization #nonprofitfunding",positive,neutral
44,"Sneak peak of our new exhibition! A collaborative installation combining paintings & sculpture, ‘I’ll meet you under the clock at Brampton Moot Hall’ 

Opening Saturday 2nd April! With a special artist in conversation:

Sat. 2nd April- 1-3pm 

Sat. 23rd April- 1-3pm 

Come support and discuss these amazing works by local artists on sense of place. Enjoy a lovely cuppa in our cosy Florence cafe. <U+0001F970> 

#localart #localartists #communityorganization #exhibitions #sculpture #paintings",positive,neutral
49,help this mother & her daughter if you can <U+0001F308><U+0001F308><U+0001F308><U+0001F98B><U+0001F98B><U+0001F98B><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> #wealthredistribution #solidarity #realalliesshowup #allyship #fundraiser #mutualaid,neutral,positive
51,"Marketing is the conversation between a brand and its audience. It shouldn't feel like a gimmick or a ""gotcha!"" It should be a sharing of values - a relationship built on trust. 

For a locally owned business, marketing is the chance to get to know the people who make that lifestyle possible <U+0001F44B><U+0001F44B><U+0001F44B>

It's true. By communicating what it is you're bringing to the table, you're attracting your tribe - your customers. It's our goal to demonstrate this point clearly through Fine Roots! 

Get in touch and let us know how we can help you with your branding, messaging, outreach and other growth options.

#finerootsmarketing #locallyowned #socialmedia #socialmediamarketing #supportlocal #marketing #marketinghelp #marketingagency #grassroots #ethical #events #emailcampaigns #contentcreation #local #consultancy #consultant #senseofplace #branding #localbusiness #explore #ethicalmarketing #smallbusiness #smallbusinesssupport",positive,neutral
53,"How have your #stress levels been? Self-care is important. <U+2764><U+FE0F>

Stress will cause negative side effects like making your body feel off-balance. Breathing techniques may help you gain control. What is your go-to way to #decreasestress that you’ve used during the #pandemic? 

Check-in daily for discussions on the topics you care about. 
https://www.facebook.com/SharminSmithAuthor 
.
.
.
.
.
.
#activist #activistsm #socialactivist #humanrightsactivist #civilrightsactivist #instaactivist #lgbtactivist #civilrights #socialjustice #socialjusticeadvocates #youngactivists #womanactivists #protest #protests #protests2020 #protestors #protest_peacefully #blm #blmactivist #blacklivesmatter #empoweredwomenempowerwomen #youmatter #gifted #unique #femalewriter #blogger #femaleblogger",negative,positive
55,"<U+0001F409> <U+0001F525> In the spirit of Mandela Freedom Day its imperative to let the world <U+0001F30E> know that Political Prisoners exist in The U.S. borders many who have now served more time then Nelson Mandela our own mandelas need to be released now! We demand that they are released! Free Em All!!!! <U+0001F30E><U+0001F30D>
.
.
.
#nelsonmandela
#winniemandela
#southafrica
#azania
#southafrican 
#newafrikanindependencemovement 
#newafrikans
#georgejacksongrassrootsmovement
#georgejackson 
#georgejacksonquotes 
#georgejacksonuniversity 
#georgejacksonradio 
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#explorepage 
#viralpost
#newafrikanpoliticalprisoners 
#newafrikanprisonerofwar 
#freepoliticalprisonersandexiles 
#freepoliticalprisoners<U+0001F397> 
#politicalprisoner 
#politicalprisoners",negative,neutral
56,"Grab your Pizza Kit today! Click the link in our bio and click Get Involved! 
•••••••••••••••
 #nonprofits #atlnonprofits #atlantanonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising",positive,negative
57,"FILIBUSTER? What can about FILIBUSTER? What is importance for USA Senate. 
#usa #senate #filibuster #youtube #usapoliticalsystem #oxford #chicagouniversity #lectures",neutral,positive
60,"Great initiative!

Kids need books at home to supplement literacy practices. 

They also need reading mentors. 
@scholastic @variety @abbottelemabc @quintab. 

We hope it's partnered with reading mentors, libraries, and literacy programs so students can grow in a culture of reading!

#weareherelit
#blackboysarelit #blackboyjoy #read #readingmatters #blackboysrock #blackparents #blackboysmatter #weneeddiversebooks #diversitymatters #blackteachersmatter #librariesofinstagram #kidslit #childrensliterature #teacher #teachersofinstagram #homeschool #blackhomeschoolers #parentteacherassociation
#blacklibrarians #bookstagram #edpolicy #edleaders #edresearchers #communityorganizations #nonprofitsofinstagram #nonprofits #literacy #literacymatters",positive,negative
61,"Reposted from @blackempowermentyyc 
*Described audio on first slide.

Hey yall!! BPU needs your help in securing a larger vehicle! We need it for groceries deliveries but also to roll out some other initiatives!! If yall have any idea how we could secure this automobile at a greatly discounted price or by donation please reach out to us!!

Thank you all for your continued support !!
Power to the people !

#collectivecare #mutualaid",positive,negative
66,"Most Americans probably don't know a lot about a rule in the U.S. Senate known as the ""filibuster,"" but they should. Why? As was made painfully clear during FRC's Pray Vote Stand broadcast last night, the filibuster is the only thing standing in the way of America ceasing to be the free country that we know and love due to the disturbing policies that the extreme Left wants to force through the Senate and impose on all Americans without compromise.<U+2060>
<U+2060>
In a country that is politically split down the middle, collaboration and dialogue is what we need more of, not less of. Even so, more and more politicians on the Left are hypocritically calling for an end to the filibuster now that they have the slimmest possible majority in the Senate, even though the Left has been using the filibuster to their advantage for over 200 years whenever they weren't in the majority.<U+2060>
<U+2060>
It used to be that the Senate required an even higher bar to pass legislation—a two-thirds majority to end debate, instead of the 60 votes they changed it to in 1975. Now, instead of working to find middle ground, Democrats want to blow up the entire system and let a simple majority rule. But that's not what the founders intended. They wanted conversation, give-and-take, and cooperation. And if unity is what Joe Biden's party actually wants, then silencing the minority party is hardly the best way to go about it.<U+2060>
<U+2060>
Wednesday, one of the moderate Democrats holding the line on the filibuster, Senator Kyrsten Sinema (D-Ariz.) told the Wall Street Journal, ""When you have a place that's broken and not working, and many would say that's the Senate today, I don't think the solution is to erode the rules. I think the solution is for senators to change their behavior and begin to work together, which is what the country wants us to do.""<U+2060>
<U+2060>
Continue reading at the link in bio.<U+2060>
<U+2060>
#PrayVoteStand #Senate #filibuster #pray #vote #standfirm #FRC #FamilyResearchCouncil",negative,neutral
67,"Please join @freethehounds greyhound group for a peaceful protest outside Cannington Greyhounds for the Perth Cup 2021, the biggest night of racing on the WA racing calendar.
This protest will coincide with the tabling of over 10,000 signatures to WA Parliament calling for a ban on greyhound racing in WA. We salute Free the Hounds for this extraordinary achievement on behalf of racing greyhounds. #freethehounds #perth #westernaustralia #protest",positive,negative
68,"<U+FEFF>
<U+FEFF>
ESP<U+88FD> <U+521D><U+97F3><U+30DF><U+30AF><U+672C><U+4EBA><U+4F7F><U+7528><U+30AE><U+30BF><U+30FC><U+304C><U+FEFF>
<U+672C><U+65E5>4/10<U+301C>4/18<U+307E><U+3067>U-ONE MUSIC<U+306B><U+5C55><U+793A><U+3055><U+308C><U+3066><U+3044><U+307E><U+3059><U+0001F389><U+FEFF>
<U+FEFF>
<U+9593><U+8FD1><U+3067><U+898B><U+308C><U+308B><U+8CB4><U+91CD><U+306A><U+6A5F><U+4F1A><U+3067><U+3059>/<U+FF9F>(<U+0E51>°<U+53E3>°<U+0E51>)<U+FF9F>\<U+FEFF>
<U+3054><U+6765><U+5E97><U+304A><U+5F85><U+3061><U+3057><U+3066><U+304A><U+308A><U+307E><U+3059>!!!!!!!<U+FEFF>
<U+FEFF>
<U+203B><U+521D><U+97F3><U+30DF><U+30AF><U+672C><U+4EBA><U+5B9F><U+6A5F><U+306B><U+306F><U+30B1><U+30FC><U+30B9><U+542B><U+3081><U+3001><U+304A><U+624B><U+3092><U+89E6><U+308C><U+306C><U+3088><U+3046><U+304A><U+9858><U+3044><U+3044><U+305F><U+3057><U+307E><U+3059><U+FEFF>
<U+203B><U+300C><U+30DE><U+30B8><U+30AB><U+30EB><U+30DF><U+30E9><U+30A4>2020<U+300D><U+306E><U+6620><U+50CF><U+306F><U+64AE><U+5F71><U+7981><U+6B62><U+3068><U+306A><U+3063><U+3066><U+304A><U+308A><U+307E><U+3059><U+FEFF>
<U+FEFF>
<U+FEFF>
GrassRoots<U+88FD> <U+521D><U+97F3><U+30DF><U+30AF><U+30E2><U+30C7><U+30EB><U+306F><U+4E88><U+7D04><U+53D7><U+4ED8><U+4E2D><U+3067><U+3059>!<U+FEFF>
<U+5B9A><U+4FA1> ¥85,800(<U+7A0E><U+8FBC>)<U+FEFF>
<U+2193><U+FEFF>
<U+30E6><U+30FC><U+30EF><U+30F3><U+8CA9><U+58F2><U+4FA1><U+683C> ¥68,640(<U+7A0E><U+8FBC>)<U+FEFF>
<U+FEFF>
<U+7D0D><U+671F> 8<U+6708><U+4EE5><U+964D><U+4E88><U+5B9A><U+0001F31E><U+FEFF>
<U+3054><U+4E88><U+7D04><U+306F><U+304A><U+65E9><U+3081><U+306B>!<U+FEFF>
<U+FEFF>
<U+FEFF>
<U+3054><U+6765><U+5E97><U+306E><U+304A><U+5BA2><U+3055><U+307E><U+3078><U+FEFF>
<U+25FB><U+FE0E><U+30DE><U+30B9><U+30AF><U+7740><U+7528><U+306B><U+3054><U+5354><U+529B><U+304F><U+3060><U+3055><U+3044><U+FEFF>
<U+25FB><U+FE0E><U+767A><U+71B1><U+3084><U+4F53><U+8ABF><U+304C><U+60AA><U+3044><U+304B><U+305F><U+306E><U+6765><U+5E97><U+306F><U+3054><U+9060><U+616E><U+304F><U+3060><U+3055><U+3044><U+FEFF>
<U+25FB><U+FE0E><U+624B><U+6307><U+306E><U+6D88><U+6BD2><U+306B><U+3054><U+5354><U+529B><U+304F><U+3060><U+3055><U+3044>(<U+51FA><U+5165><U+53E3><U+306B><U+6D88><U+6BD2><U+6DB2><U+3092><U+8A2D><U+3051><U+3066><U+304A><U+308A><U+307E><U+3059>)<U+FEFF>
<U+611F><U+67D3><U+5BFE><U+7B56><U+3092><U+884C><U+3044><U+306A><U+304C><U+3089><U+55B6><U+696D><U+3057><U+3066><U+304A><U+308A><U+307E><U+3059><U+3002><U+304A><U+5BA2><U+3055><U+307E><U+306B><U+306F><U+304A><U+624B><U+6570><U+304A><U+304B><U+3051><U+3057><U+307E><U+3059><U+304C><U+3001><U+4F55><U+5352><U+3054><U+7406><U+89E3><U+3054><U+5354><U+529B><U+3092><U+304A><U+9858><U+3044><U+3044><U+305F><U+3057><U+307E><U+3059><U+3002><U+FEFF>
<U+FEFF>
<U+FEFF>
<U+FEFF>
#ESP #GrassRoots #<U+521D><U+97F3><U+30DF><U+30AF> #<U+30AE><U+30BF><U+30FC> #<U+798F><U+5CF6><U+5E02>",neutral,positive
72,"Save the date! 
•••••••••••••••
 #nonprofits #atlnonprofit #atlnonprofits #atlantanonprofit #atlantanonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising #doula #doulas #doulalife #blackdoula #blackdoulas #blackdoulasmatter #blackmamasmatter #blackatldoula #blackatldoulas #blackatlantadoula #blackatlantadoulas #atlantadoula #atlantadoulas #birthsupport",positive,neutral
73,"Studio Pottery for Seniors Wednesday mornings 11:00 AM - 1:00 PM join us!  Explore your creative side and have a morning out with friends as we sculpt in clay using hand-building/ slab techniques! 

Create a vase, pot and many other functional pieces. No experience necessary...the main objective is to have fun! 

Studio Pottery is great for group workshops and community organizations. Two-hours of studio time, materials and supplies.

SOMA/South Orange Senior Classic Card holders are welcomed!

Interested in hosting a private session in our studio or offsite for your seniors' group, center or organization? Call to inquire 973-763-5256.

To enroll in this workshop please register at least 2-days prior. https://www.expressyourselfstudiosllc.com/store/p2423/Senior_Studio_Pottery_Workshop_-_Wednesday%2C_March_9%2C_2022.html

.
.
.
.

.
.
.
.

.
.
.
.

#activeseniors #seniorshavingfun #activeadultcommunities #pottery #adultartclasses #workshopsforseniors #clay #playwithclay #communities",positive,neutral
75,"Sometimes you have to cast your net wide and hope for the best. 

That's the energy I've been going with lately, and it hasn't been too bad. 

My name is Muriel Foster. I like to call myself the non-conventional nonprofit influencer/consultant because why would you want to be conventional when providing resources to your community.<U+0001F642>

I'm here to help you develop your community organization anyway that I can. 

Let’s grow together <U+0001F331>
.
.
.

#blogger #houston #nonprofit #houstonblogger #nonprofitblogger #curlygirl #givingback #socialimpact #nonprofitorganizations #nonprofitsofinstagram #volunteering #4charity #communitysupport #socialenterprise #marketing #volunteer #education #charity #philanthropy #causes #fundraiser #giving #advocacy #npic #nonprofitindustrialcomplex #blacknonprofits #marketing #BIPOC #communityorganizations",positive,negative
81,"Live from North Queen St as petrol bombs thrown 
#belfast #northernireland
#protests #policing #psni
#princephilip #brexit
#ireland #news",neutral,negative
82,"Our next Fresh Fun Mobile Market is tomorrow, March 26th from 10am-12:30pm at Loyola Academy!

Chef demonstrations, recipes, and FREE essential items. This event will require pre-registration, as space will be limited.

Sign up now on our website!

If you can't make it out, stay tuned for future opportunities coming soon. Text “FUNMEALS” to 741-21 for alerts on all upcoming events.

.
.
.
#STLNonprofit #StLouisNonprofit #stlnonprofits #StLouisEducation #STLEducation #stlserves #childrenandfamilies #communityneeds #buildingabettercommunity #funmeals #foodassistance #enrichingcommunities #youthservices #communityaction #enrichmentprogram #communityorganization #mobilemarket #getsupport #4charity #communityimpact #neighborshelpingneighbors #takingaction  #socialimpact #doinggood #thebaileyfoundation #takeactionstl",neutral,positive
83,"#<U+0645><U+0633><U+064A><U+0644><U+0629> <U+0644><U+064A> <U+062C><U+064A><U+0646><U+064A><U+0631><U+0648> <U+0628><U+0631><U+0643><U+0627><U+0648> <U+0645><U+0644><U+0639><U+0628><U+060C> 7<U+0648>8  <U+0627><U+0644><U+0633><U+0644><U+0637><U+0629> <U+0644><U+0644><U+0634><U+0639><U+0628>
#msila Generals stop playing around, apply articles 7 and 8, the power to the people
<U+062A><U+062D><U+064A><U+0627> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631><U+062F><U+0648><U+0644><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+062A><U+062D><U+064A><U+0627> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631> <U+0645><U+0627><U+0634><U+064A> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629>
Long live Algeria, a civil state, long live Algeria, not a military state
<U+062F><U+0648><U+0644><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+0627><U+0634><U+064A> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629>.
Civil, civil, civil state, not military, military, military state.

#algeria
#algerie
#algerian
#algeria<U+0001F1E9><U+0001F1FF>
#alger
#hirak 
#protest
#protests
#protest_peacefully 
#politiquealgerienne
#free_the_detainees
#<U+062D><U+0631><U+0627><U+0643>_22_<U+0641><U+064A><U+0641><U+0631><U+064A> 
#<U+064A><U+062A><U+0646><U+062D><U+0627><U+0648>_<U+06A8><U+0627><U+0639> 
#<U+0627><U+0644><U+0627><U+0633><U+062A><U+0642><U+0644><U+0627><U+0644> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631>_<U+0627><U+0644><U+0645><U+062D><U+0645><U+064A><U+0629>_<U+0628><U+0627><U+0644><U+0644><U+0647> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631><U+0001F1E9><U+0001F1FF>
#<U+0627><U+0644><U+062D><U+0631><U+0627><U+0643>
#<U+062D><U+0631><U+0627><U+0643><U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631>
#<U+0627><U+0644><U+062D><U+0631><U+064A><U+0629> 
#<U+0646><U+0631><U+064A><U+062F>_<U+0648><U+0637><U+0646>
#<U+0645><U+0639><U+062A><U+0642><U+0644><U+064A>_<U+0627><U+0644><U+0631><U+0627><U+0654><U+064A> 
#<U+0633><U+0644><U+0645><U+064A><U+0629>_<U+0633><U+0644><U+0645><U+064A><U+0629> 
#<U+0627><U+0644><U+062D><U+0631><U+0627><U+0643>_<U+0627><U+0644><U+0634><U+0639><U+0628>",negative,neutral
